loglik,mean_loglik,N,M,n_iter,cputime,mean_itertime,method,init
-48085.43108024231,-8.424217077828015,88,5708,404,52.768527307,0.13061516660148514,fp,wishart
-50059.68135387201,-8.328012203272669,88,6011,465,55.65330741400002,0.11968453207311831,fp,wishart
-51436.42845748119,-8.091305404669056,88,6357,373,43.014995464,0.11532170365683647,fp,wishart
-49649.62107993189,-8.498736918851744,88,5842,474,50.34120682500001,0.10620507768987343,fp,wishart
-52474.377612410244,-8.171033574028378,88,6422,396,45.270286562999985,0.11431890546212117,fp,wishart
-55665.023578138906,-7.9227189835096645,88,7026,403,49.878964462,0.12376914258560794,fp,wishart
-52101.12284764275,-8.202317828659123,88,6352,396,45.284617501,0.11435509469949495,fp,wishart
-51191.98989713132,-8.21833197899042,88,6229,413,46.091732361000005,0.11160225753268767,fp,wishart
-53846.420600869955,-8.16844972707372,88,6592,380,44.49673222299999,0.1170966637447368,fp,wishart
-54823.795684754106,-8.20715504262786,88,6680,390,46.712056020999995,0.11977450261794871,fp,wishart
-56642.12635242184,-8.678125685984654,88,6527,409,47.599781788000016,0.1163808845672372,fp,wishart
-57776.57958252514,-8.487818360882201,88,6807,397,47.735539171,0.12024065282367757,fp,wishart
-58142.912645139084,-8.230876648519123,88,7064,382,47.66468783500001,0.12477666972513092,fp,wishart
-53358.01459214203,-8.404160433476457,88,6349,416,48.027226594,0.11545006392788461,fp,wishart
-55526.80963571169,-8.380140301194038,88,6626,425,50.14343538799999,0.11798455385411763,fp,wishart
-47845.94211557396,-7.921513595293702,88,6040,421,45.71007986000001,0.10857501154394301,fp,wishart
-57747.070513175844,-8.33531618261776,88,6928,351,44.739654039,0.12746340182051283,fp,wishart
-48044.96898962078,-8.282187379696738,88,5801,395,42.141003917000006,0.1066860858658228,fp,wishart
-57263.14847246892,-8.430970034226872,88,6792,415,51.32467697799999,0.12367392042891565,fp,wishart
-53714.61803516263,-8.435084490446393,88,6368,362,42.130173973000005,0.11638169605801106,fp,wishart
-46044.57573821813,-8.58399995119652,88,5364,430,42.418159274,0.09864688203255813,fp,wishart
-50221.683897894465,-8.200797501289102,88,6124,370,40.276947456,0.10885661474594595,fp,wishart
-53434.5168618312,-8.468227711859145,88,6310,418,46.809439315999995,0.11198430458373204,fp,wishart
-49739.52027131055,-8.303759644626135,88,5990,461,49.637410145999986,0.10767334088069411,fp,wishart
-51829.8863798145,-7.870901500351481,88,6585,388,45.539837707000004,0.11737071573969073,fp,wishart
-52561.60712887105,-8.353720141270033,88,6292,377,42.57692042800001,0.11293612845623344,fp,wishart
-55453.029199119315,-8.746534573993582,88,6340,383,42.87757863699999,0.11195190244647517,fp,wishart
-56652.81055269034,-8.644005272000356,88,6554,428,49.588522448999996,0.11586103375934578,fp,wishart
-58233.479895260774,-7.984845728131191,88,7293,386,49.278378260000004,0.1276641923834197,fp,wishart
-51630.37614106658,-8.07987107058945,88,6390,365,41.77756813100001,0.11445909076986303,fp,wishart
-45674.9649585947,-8.001920980832988,88,5708,250,29.627591414,0.11851036565600001,grad,wishart
-46468.73547995943,-7.730616449835208,88,6011,216,28.608672197999994,0.1324475564722222,grad,wishart
-48582.707411788186,-7.642395377031333,88,6357,237,30.447448756999997,0.12847024791983122,grad,wishart
-45987.17205095016,-7.871819933404684,88,5842,249,29.259638262000003,0.11750858739759037,grad,wishart
-49108.401877328404,-7.646901569188477,88,6422,249,31.47500485600001,0.1264056419919679,grad,wishart
-52700.212352942384,-7.500741866345344,88,7026,239,32.709850414,0.1368612988033473,grad,wishart
-50194.641120604945,-7.902179017727478,88,6352,310,38.79969247299999,0.12516029829999997,grad,wishart
-48668.42753520832,-7.813200760187561,88,6229,237,29.595491496000008,0.12487549154430383,grad,wishart
-51092.47214525931,-7.750678420093949,88,6592,215,27.449852972000002,0.1276737347534884,grad,wishart
-51274.168825382745,-7.675773776254902,88,6680,282,36.994356958000004,0.13118566297163123,grad,wishart
-52783.98663977884,-8.0870210877553,88,6527,283,36.581542482,0.12926340099646644,grad,wishart
-54081.83033843065,-7.945031634850984,88,6807,254,33.817677845999995,0.1331404639606299,grad,wishart
-54847.29998627947,-7.764340315158475,88,7064,225,31.223884775000005,0.13877282122222226,grad,wishart
-49304.499948088196,-7.765711127435533,88,6349,272,34.86562051600001,0.1281824283676471,grad,wishart
-70553.3712738695,-10.64795823632199,88,6626,22,2.7527238130000002,0.1251238096818182,grad,wishart
-45110.2180562973,-7.468579148393593,88,6040,179,21.543198722000007,0.12035306548603356,grad,wishart
-54055.25324471184,-7.8024326277009015,88,6928,274,38.465988009,0.1403868175510949,grad,wishart
-45192.072747460996,-7.7903935093020165,88,5801,263,30.746813156000005,0.11690803481368824,grad,wishart
-54291.012322274626,-7.993376372537489,88,6792,239,32.433915042,0.13570675749790795,grad,wishart
-50174.7604589018,-7.879202333370258,88,6368,268,34.07539506999999,0.1271469965298507,grad,wishart
-56999.797430225415,-10.626360445605036,88,5364,21,2.123249179,0.10110710376190477,grad,wishart
-47672.533818808384,-7.78454177315617,88,6124,202,24.097173459000008,0.11929293791584163,grad,wishart
-50927.75426596034,-8.070959471626045,88,6310,220,27.143718378,0.12338053808181818,grad,wishart
-46703.31969263853,-7.7968814178027595,88,5990,227,26.913472130999992,0.11856155123788542,grad,wishart
-47664.835672038316,-7.238395698107565,88,6585,239,30.973298268000008,0.12959539024267785,grad,wishart
-48513.638449306236,-7.7103684757320785,88,6292,244,30.472516829,0.12488736405327869,grad,wishart
-52981.06064389168,-8.356634170960833,88,6340,233,28.76199546600001,0.12344204062660948,grad,wishart
-53444.41221625165,-8.154472416272757,88,6554,244,31.338937506000008,0.12843826846721315,grad,wishart
-53904.36882780046,-7.391247611106604,88,7293,228,32.309898573,0.1417100814605263,grad,wishart
-48281.67378796147,-7.555817494203672,88,6390,278,35.112176018999996,0.12630279143525178,grad,wishart
-53870.594527391935,-9.437735551400129,88,5708,156,18.976925528,0.12164695851282051,mm,wishart
-56971.39313214327,-9.47785611913879,88,6011,255,32.009019568,0.12552556693333333,mm,wishart
-59703.644628057715,-9.39179559982031,88,6357,145,18.37819951499999,0.12674620355172408,mm,wishart
-56878.99612670663,-9.736219809432837,88,5842,135,16.050138063,0.11888991157777777,mm,wishart
-60513.603410145246,-9.422859453463913,88,6422,228,29.353679282,0.128744207377193,mm,wishart
-65349.84248755028,-9.30114467514237,88,7026,213,29.21693103400001,0.13716869030046952,mm,wishart
-59005.92037736506,-9.289345147570065,88,6352,216,27.904613487000002,0.1291880254027778,mm,wishart
-58789.37203897789,-9.438011244016357,88,6229,207,26.212373162999995,0.12662982204347822,mm,wishart
-61356.628389689446,-9.307740957173763,88,6592,230,30.334634750999996,0.13188971630869564,mm,wishart
-62909.90492529268,-9.417650437918066,88,6680,139,18.651044703,0.13418017771942445,mm,wishart
-64856.01768208645,-9.936573874994094,88,6527,157,20.335582941999995,0.12952600599999997,mm,wishart
-66594.37514923792,-9.783219501871297,88,6807,133,17.810274338999996,0.1339118371353383,mm,wishart
-67695.77344077404,-9.583206885726788,88,7064,233,32.30686571999999,0.1386560760515021,mm,wishart
-61885.53364151489,-9.747288335409497,88,6349,131,17.075266901,0.13034554886259542,mm,wishart
-62225.34832761566,-9.391087885242328,88,6626,318,42.463331311000005,0.1335324883993711,mm,wishart
-54545.374453065924,-9.030691134613564,88,6040,244,30.361764006,0.12443345904098362,mm,wishart
-64549.00571795588,-9.317119762984394,88,6928,186,25.914538563000004,0.1393254761451613,mm,wishart
-55025.55371163891,-9.485528997007224,88,5801,150,18.335505054000002,0.12223670036000002,mm,wishart
-66020.70160150532,-9.720362426605613,88,6792,179,24.534667223000003,0.1370651800167598,mm,wishart
-60650.23521016987,-9.52422035335582,88,6368,193,25.08396356699999,0.12996872314507768,mm,wishart
-52366.78537540915,-9.762637094595293,88,5364,170,19.084007555000003,0.11225886797058825,mm,wishart
-56489.168309959125,-9.224227353030557,88,6124,169,20.758738171999997,0.1228327702485207,mm,wishart
-62467.19530155921,-9.899713993907957,88,6310,191,24.057394446000007,0.12595494474345553,mm,wishart
-55711.67972033062,-9.300781255480905,88,5990,210,25.818955901999992,0.12294740905714281,mm,wishart
-60397.5579668148,-9.171990579622596,88,6585,213,27.932879289,0.13114027835211267,mm,wishart
-61287.636839282444,-9.740565295499435,88,6292,202,25.795141175000005,0.12769871868811883,mm,wishart
-62506.96832240363,-9.859143268517922,88,6340,134,17.069591010999996,0.12738500754477608,mm,wishart
-65606.62253468166,-10.01016517160233,88,6554,264,34.64602156400001,0.1312349301666667,mm,wishart
-66933.23386975014,-9.17773671599481,88,7293,91,12.821987009,0.14090095614285716,mm,wishart
-60559.803468304526,-9.477277538075827,88,6390,146,18.748656206,0.12841545346575342,mm,wishart
-57372.4932898343,-10.051242692682955,88,5708,323,39.362023423,0.12186384960681114,fp,basic
-76526.77575919092,-10.640541679531552,88,7192,290,46.25181653999999,0.15948902255172412,fp,basic
-62663.750083071034,-9.809603957900913,88,6388,360,42.219730082,0.11727702800555555,fp,basic
-61072.04616989197,-9.998697801226584,88,6108,353,38.14140215700001,0.10804929789518417,fp,basic
-59827.52287261388,-9.827122679470085,88,6088,340,35.71797748,0.10505287494117647,fp,basic
-59560.79146520652,-10.047366981310143,88,5928,405,41.996060817,0.10369397732592593,fp,basic
-64132.771848671815,-9.90620510483037,88,6474,261,28.798898656000002,0.11034060787739465,fp,basic
-64743.22683781137,-10.043938386256807,88,6446,319,35.067604156,0.1099297935924765,fp,basic
-72635.08233664143,-9.81289953210503,88,7402,357,44.465980306000006,0.12455456668347341,fp,basic
-61845.20811202696,-9.976642702375699,88,6199,277,29.531044136,0.10661026763898916,fp,basic
-65760.06888833584,-10.57405835155746,88,6219,274,29.542065709000006,0.10781775806204381,fp,basic
-60185.19199375251,-10.427094940012562,88,5772,283,28.912212787999998,0.10216329607067137,fp,basic
-52129.39378314353,-10.13796067350127,88,5142,274,25.402241518999993,0.09270891065328464,fp,basic
-66531.64412317079,-10.051615670519835,88,6619,342,38.939865903000005,0.1138592570263158,fp,basic
-72758.49562712878,-10.046740627883013,88,7242,283,34.82906098900001,0.12307088688692584,fp,basic
-57498.05722160852,-10.683399706727707,88,5382,288,27.756070480999995,0.09637524472569442,fp,basic
-61793.69235833129,-10.06084212932779,88,6142,439,46.521642373999995,0.10597185051025056,fp,basic
-67801.29728525745,-9.54678925447162,88,7102,354,42.19322190700001,0.11918989239265539,fp,basic
-58546.63032604662,-10.332973936824324,88,5666,345,34.509518803000006,0.10002759073333335,fp,basic
-73984.22632974878,-10.189261304193469,88,7261,346,42.184199306000004,0.12191965117341041,fp,basic
-61428.83507980347,-10.397568564624827,88,5908,244,24.99451767899999,0.10243654786475406,fp,basic
-63481.74769384961,-10.24725547923319,88,6195,361,39.609895769000005,0.10972270296121885,fp,basic
-56239.658065971395,-9.983962021297957,88,5633,478,48.053415468000004,0.1005301578828452,fp,basic
-69397.5849564105,-10.673267449463319,88,6502,230,26.052417958,0.11327138242608696,fp,basic
-62256.36397946541,-10.064074358141838,88,6186,347,37.205609239,0.10722077590489913,fp,basic
-73041.91584175456,-10.450982378273652,88,6989,324,38.628836097000004,0.11922480276851853,fp,basic
-70539.4135200633,-9.977286212173027,88,7070,346,41.413605088,0.11969250025433525,fp,basic
-55431.16548965173,-10.249845689654535,88,5408,408,39.80336053799999,0.09755725622058822,fp,basic
-63873.265410417,-10.252530563469824,88,6230,315,33.771444138999996,0.10721093377460317,fp,basic
-73684.50331630108,-9.835091206126679,88,7492,448,55.875139988,0.12472129461607143,fp,basic
-46826.14970635778,-8.203600158787276,88,5708,249,27.94629935699999,0.11223413396385538,grad,basic
-58388.192274122994,-8.118491695512096,88,7192,279,50.579494873,0.18128851208960575,grad,basic
-45416.990664989185,-7.109735545552471,88,6388,333,43.749194448000004,0.13137896230630633,grad,basic
-48565.03403913566,-7.951053379033343,88,6108,301,35.569756131,0.11817194727906977,grad,basic
-48047.29078165648,-7.892130548892325,88,6088,229,26.285447798,0.11478361483842794,grad,basic
-107122.88039837641,-18.070661335758505,88,5928,9,0.9073637929999999,0.10081819922222221,grad,basic
-114867.14593385234,-17.742839965068328,88,6474,9,0.968306419,0.10758960211111111,grad,basic
-49367.08169212613,-7.658560610010259,88,6446,239,28.40305022499999,0.1188412143305439,grad,basic
-56295.53566830867,-7.6054492932057105,88,7402,365,49.737643512,0.13626751647123286,grad,basic
-51007.10283376201,-8.228279211769964,88,6199,177,20.613697193,0.11646156606214689,grad,basic
-51713.781622650866,-8.31544969008697,88,6219,183,21.702451690000004,0.11859263218579237,grad,basic
-45427.45149377604,-7.870313841610541,88,5772,329,36.946294523,0.11229876754711246,grad,basic
-40114.633312196805,-7.801367816452121,88,5142,255,26.358759151999998,0.1033676829490196,grad,basic
-111658.67678551795,-16.86941785549448,88,6619,9,0.976824499,0.10853605544444445,grad,basic
-57111.92717245837,-7.8862092201682366,88,7242,234,31.703782444000005,0.13548624976068377,grad,basic
-43682.42303410696,-8.116392239707723,88,5382,251,26.114043788,0.10404001509163346,grad,basic
-47421.412618369024,-7.7208421716654225,88,6142,312,36.557748268000005,0.11717227008974361,grad,basic
-54430.318985722624,-7.664083213985163,88,7102,279,36.792776188,0.13187374977777777,grad,basic
-46532.55287381952,-8.212593165164053,88,5666,246,26.589914764999996,0.1080890844105691,grad,basic
-59477.86280110092,-8.191414791502675,88,7261,281,38.154139220999994,0.13577985487900354,grad,basic
-45542.70535727822,-7.708650195883246,88,5908,264,29.510496827000004,0.11178218495075759,grad,basic
-48242.35913796405,-7.78730575269799,88,6195,277,32.509817053999996,0.1173639604837545,grad,basic
-45395.01658814146,-8.058763818239207,88,5633,194,21.242183805000003,0.10949579280927836,grad,basic
-49903.946632347084,-7.67516866077316,88,6502,291,35.84314645500001,0.1231723245876289,grad,basic
-51395.209542036086,-8.308310627551906,88,6186,227,26.776394394999997,0.11795768455947135,grad,basic
-56158.58474161042,-8.035281834541482,88,6989,253,32.739672892,0.1294058217075099,grad,basic
-56298.48962592378,-7.9630112625069,88,7070,218,28.17754079799999,0.12925477430275223,grad,basic
-43888.871931122165,-8.11554584525188,88,5408,309,33.052726571,0.10696675265695793,grad,basic
-48906.366736862954,-7.850139123091967,88,6230,270,31.739081369,0.11755215321851852,grad,basic
-59247.022606898376,-7.908038255058512,88,7492,232,31.792271845000002,0.13703565450431035,grad,basic
-54848.02256090167,-9.608973819359088,88,5708,197,23.599093249,0.11979235151776649,mm,basic
-71463.12576525421,-9.936474661464713,88,7192,169,30.594524492999998,0.18103268930769228,mm,basic
-56692.33737651416,-8.87481799882814,88,6388,180,22.473286363,0.12485159090555556,mm,basic
-57968.25010980484,-9.490545204617687,88,6108,195,23.45674953400001,0.1202910232512821,mm,basic
-56853.5702385644,-9.33862848859468,88,6088,234,28.240017931999994,0.12068383731623929,mm,basic
-56387.020866349245,-9.511980577994137,88,5928,171,20.371026292999996,0.11912880873099413,mm,basic
-60392.939781307025,-9.32853564740609,88,6474,153,19.136987006,0.12507834644444443,mm,basic
-60930.77300335623,-9.452493484852038,88,6446,125,15.632737611999996,0.12506190089599997,mm,basic
-69851.03808646536,-9.436778990335768,88,7402,172,23.958365521000005,0.13929282279651165,mm,basic
-60528.852987698316,-9.764293109807761,88,6199,172,21.504996184,0.12502904758139535,mm,basic
-60676.5158898509,-9.756635454229121,88,6219,153,19.021855744000003,0.12432585453594773,mm,basic
-56109.80017133462,-9.721032600716324,88,5772,189,21.89175275400001,0.1158293796507937,mm,basic
-49725.85873920193,-9.670528731855685,88,5142,220,23.717520897000007,0.10780691316818185,mm,basic
-62763.49562464339,-9.482322952809094,88,6619,217,27.769996583000008,0.127972334483871,mm,basic
-68406.73491866956,-9.445834702936974,88,7242,155,21.088133940000006,0.1360524770322581,mm,basic
-53349.734517770186,-9.91262254139171,88,5382,205,22.637939808999995,0.11042897467804876,mm,basic
-59328.395399357905,-9.659458710413205,88,6142,145,17.979588538999998,0.12399716233793102,mm,basic
-65917.37895670114,-9.281523367600837,88,7102,137,18.142643915,0.13242805777372263,mm,basic
-53688.46329545041,-9.475549469722981,88,5666,195,22.417776355999994,0.11496295567179483,mm,basic
-71661.86718145035,-9.869421179100723,88,7261,155,20.948747538000006,0.13515320992258067,mm,basic
-56326.20855605409,-9.533887704139149,88,5908,153,18.380502219999997,0.12013400143790848,mm,basic
-59046.77794362325,-9.531360442877038,88,6195,208,25.976553163999995,0.12488727482692305,mm,basic
-54104.31186475803,-9.604884051971956,88,5633,223,25.61834183,0.1148804566367713,mm,basic
-62498.71244117013,-9.61222892051217,88,6502,161,20.682713431000003,0.12846405857763976,mm,basic
-60004.2316276531,-9.700005112779357,88,6186,114,13.972826376999995,0.12256865242982452,mm,basic
-68979.84792692236,-9.869773633842089,88,6989,178,23.850858360999993,0.13399358629775276,mm,basic
-69620.41527431791,-9.847300604571133,88,7070,86,11.440462837999997,0.13302863765116274,mm,basic
-52282.49769269496,-9.667621614773477,88,5408,181,20.28228144300001,0.11205680355248623,mm,basic
-59644.72078946081,-9.573791458982473,88,6230,213,25.891038670999997,0.12155417216431924,mm,basic
-72751.37948720105,-9.710541842925927,88,7492,118,16.155725097999998,0.13691292455932202,mm,basic
